#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-25.437500000000	1.8190063238144	-3.4715681076050
-25.300000000000	1.7535550594330	-3.4461865425110
-25.162500000000	1.6861290931702	-3.4168491363525
-25.025000000000	1.6187021732330	-3.3875112533569
-24.887500000000	1.5512762069702	-3.3581738471985
-24.750000000000	1.4838492870331	-3.3288359642029
-24.612500000000	1.4147355556488	-3.2954120635986
-24.475000000000	1.3447303771973	-3.2598273754120
-24.337500000000	1.2747243642807	-3.2242422103882
-24.200000000000	1.2047193050385	-3.1886572837830
-24.062500000000	1.1347131729126	-3.1530721187592
-23.925000000000	1.0632469654083	-3.1126551628113
-23.787500000000	0.99158251285553	-3.0715789794922
-23.650000000000	0.91991704702377	-3.0305023193359
-23.512500000000	0.84825253486633	-2.9894261360168
-23.375000000000	0.77651309967041	-2.9478580951691
-23.237500000000	0.70414781570435	-2.9021344184875
-23.100000000000	0.63178348541260	-2.8564109802246
-22.962500000000	0.55941820144653	-2.8106873035431
-22.825000000000	0.48705387115479	-2.7649641036987
-22.687500000000	0.41478496789932	-2.7180061340332
-22.550000000000	0.34271049499512	-2.6685590744019
-22.412500000000	0.27063703536987	-2.6191132068634
-22.275000000000	0.19856256246567	-2.5696663856506
-22.137500000000	0.12648905813694	-2.5202202796936
-22.000000000000	0.055137742310762	-2.4692482948303
-21.862500000000	-0.015639275312424	-2.4170651435852
-21.725000000000	-0.086415305733681	-2.3648824691772
-21.587500000000	-0.15719230473042	-2.3126993179321
-21.450000000000	-0.22796833515167	-2.2605166435242
-21.312500000000	-0.29694867134094	-2.2069869041443
-21.175000000000	-0.36543160676956	-2.1530842781067
-21.037500000000	-0.43391358852386	-2.0991826057434
-20.900000000000	-0.50239658355713	-2.0452799797058
-20.762500000000	-0.57084929943085	-1.9913716316223
-20.625000000000	-0.63609266281128	-1.9367408752441
-20.487500000000	-0.70133602619171	-1.8821099996567
-20.350000000000	-0.76657843589783	-1.8274799585342
-20.212500000000	-0.83182179927826	-1.7728490829468
-20.075000000000	-0.89615523815155	-1.7182452678680
-19.937500000000	-0.95752793550491	-1.6637259721756
-19.800000000000	-1.0189006328583	-1.6092066764832
-19.662500000000	-1.0802725553513	-1.5546879768372
-19.525000000000	-1.1416451931000	-1.5001686811447
-19.387500000000	-1.2002646923065	-1.4460427761078
-19.250000000000	-1.2583978176117	-1.3919854164124
-19.112500000000	-1.3155040740967	-1.3381359577179
-18.975000000000	-1.3711619377136	-1.2845797538757
-18.837500000000	-1.4268205165863	-1.2310228347778
-18.700000000000	-1.4799847602844	-1.1780295372009
-18.562500000000	-1.5330991744995	-1.1250468492508
-18.425000000000	-1.5849843025208	-1.0723568201065
-18.287500000000	-1.6358439922333	-1.0199114084244
